ncsim: 10.20-s100: (c) Copyright 1995-2011 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm rca_tb.a rca_tb.b rca_tb.cin rca_tb.cout rca_tb.i rca_tb.j rca_tb.k rca_tb.sum
Created probe 1
ncsim> run
Time=1445, a=9, b=0, cin=1, cout=0, sum=10
Time=1450, a=9, b=1, cin=0, cout=0, sum=10
Time=1455, a=9, b=1, cin=1, cout=0, sum=11
Time=1460, a=9, b=2, cin=0, cout=0, sum=11
Time=1465, a=9, b=2, cin=1, cout=0, sum=12
Time=1470, a=9, b=3, cin=0, cout=0, sum=12
Time=1475, a=9, b=3, cin=1, cout=0, sum=13
Time=1480, a=9, b=4, cin=0, cout=0, sum=13
Time=1485, a=9, b=4, cin=1, cout=0, sum=14
Time=1490, a=9, b=5, cin=0, cout=0, sum=14
Time=1495, a=9, b=5, cin=1, cout=0, sum=15
Time=1500, a=9, b=6, cin=0, cout=0, sum=15
Time=1505, a=9, b=6, cin=1, cout=1, sum=0
Time=1510, a=9, b=7, cin=0, cout=1, sum=0
Time=1515, a=9, b=7, cin=1, cout=1, sum=1
Time=1520, a=9, b=8, cin=0, cout=1, sum=1
Time=1525, a=9, b=8, cin=1, cout=1, sum=2
Time=1530, a=9, b=9, cin=0, cout=1, sum=2
Time=1535, a=9, b=9, cin=1, cout=1, sum=3
Time=1540, a=9, b=10, cin=0, cout=1, sum=3
Time=1545, a=9, b=10, cin=1, cout=1, sum=4
Time=1550, a=9, b=11, cin=0, cout=1, sum=4
Time=1555, a=9, b=11, cin=1, cout=1, sum=5
Time=1560, a=9, b=12, cin=0, cout=1, sum=5
Time=1565, a=9, b=12, cin=1, cout=1, sum=6
Time=1570, a=9, b=13, cin=0, cout=1, sum=6
Time=1575, a=9, b=13, cin=1, cout=1, sum=7
Time=1580, a=9, b=14, cin=0, cout=1, sum=7
Time=1585, a=9, b=14, cin=1, cout=1, sum=8
Time=1590, a=9, b=15, cin=0, cout=1, sum=8
Time=1595, a=9, b=15, cin=1, cout=1, sum=9
Time=1600, a=10, b=0, cin=0, cout=0, sum=10
Time=1605, a=10, b=0, cin=1, cout=0, sum=11
Time=1610, a=10, b=1, cin=0, cout=0, sum=11
Time=1615, a=10, b=1, cin=1, cout=0, sum=12
Time=1620, a=10, b=2, cin=0, cout=0, sum=12
Time=1625, a=10, b=2, cin=1, cout=0, sum=13
Time=1630, a=10, b=3, cin=0, cout=0, sum=13
Time=1635, a=10, b=3, cin=1, cout=0, sum=14
Time=1640, a=10, b=4, cin=0, cout=0, sum=14
Time=1645, a=10, b=4, cin=1, cout=0, sum=15
Time=1650, a=10, b=5, cin=0, cout=0, sum=15
Time=1655, a=10, b=5, cin=1, cout=1, sum=0
Time=1660, a=10, b=6, cin=0, cout=1, sum=0
Time=1665, a=10, b=6, cin=1, cout=1, sum=1
Time=1670, a=10, b=7, cin=0, cout=1, sum=1
Time=1675, a=10, b=7, cin=1, cout=1, sum=2
Time=1680, a=10, b=8, cin=0, cout=1, sum=2
Time=1685, a=10, b=8, cin=1, cout=1, sum=3
Time=1690, a=10, b=9, cin=0, cout=1, sum=3
Time=1695, a=10, b=9, cin=1, cout=1, sum=4
Time=1700, a=10, b=10, cin=0, cout=1, sum=4
Time=1705, a=10, b=10, cin=1, cout=1, sum=5
Time=1710, a=10, b=11, cin=0, cout=1, sum=5
Time=1715, a=10, b=11, cin=1, cout=1, sum=6
Time=1720, a=10, b=12, cin=0, cout=1, sum=6
Time=1725, a=10, b=12, cin=1, cout=1, sum=7
Time=1730, a=10, b=13, cin=0, cout=1, sum=7
Time=1735, a=10, b=13, cin=1, cout=1, sum=8
Time=1740, a=10, b=14, cin=0, cout=1, sum=8
Time=1745, a=10, b=14, cin=1, cout=1, sum=9
Time=1750, a=10, b=15, cin=0, cout=1, sum=9
Time=1755, a=10, b=15, cin=1, cout=1, sum=10
Time=1760, a=11, b=0, cin=0, cout=0, sum=11
Time=1765, a=11, b=0, cin=1, cout=0, sum=12
Time=1770, a=11, b=1, cin=0, cout=0, sum=12
Time=1775, a=11, b=1, cin=1, cout=0, sum=13
Time=1780, a=11, b=2, cin=0, cout=0, sum=13
Time=1785, a=11, b=2, cin=1, cout=0, sum=14
Time=1790, a=11, b=3, cin=0, cout=0, sum=14
Time=1795, a=11, b=3, cin=1, cout=0, sum=15
Time=1800, a=11, b=4, cin=0, cout=0, sum=15
Time=1805, a=11, b=4, cin=1, cout=1, sum=0
Time=1810, a=11, b=5, cin=0, cout=1, sum=0
Time=1815, a=11, b=5, cin=1, cout=1, sum=1
Time=1820, a=11, b=6, cin=0, cout=1, sum=1
Time=1825, a=11, b=6, cin=1, cout=1, sum=2
Time=1830, a=11, b=7, cin=0, cout=1, sum=2
Time=1835, a=11, b=7, cin=1, cout=1, sum=3
Time=1840, a=11, b=8, cin=0, cout=1, sum=3
Time=1845, a=11, b=8, cin=1, cout=1, sum=4
Time=1850, a=11, b=9, cin=0, cout=1, sum=4
Time=1855, a=11, b=9, cin=1, cout=1, sum=5
Time=1860, a=11, b=10, cin=0, cout=1, sum=5
Time=1865, a=11, b=10, cin=1, cout=1, sum=6
Time=1870, a=11, b=11, cin=0, cout=1, sum=6
Time=1875, a=11, b=11, cin=1, cout=1, sum=7
Time=1880, a=11, b=12, cin=0, cout=1, sum=7
Time=1885, a=11, b=12, cin=1, cout=1, sum=8
Time=1890, a=11, b=13, cin=0, cout=1, sum=8
Time=1895, a=11, b=13, cin=1, cout=1, sum=9
Time=1900, a=11, b=14, cin=0, cout=1, sum=9
Time=1905, a=11, b=14, cin=1, cout=1, sum=10
Time=1910, a=11, b=15, cin=0, cout=1, sum=10
Time=1915, a=11, b=15, cin=1, cout=1, sum=11
Time=1920, a=12, b=0, cin=0, cout=0, sum=12
Time=1925, a=12, b=0, cin=1, cout=0, sum=13
Time=1930, a=12, b=1, cin=0, cout=0, sum=13
Time=1935, a=12, b=1, cin=1, cout=0, sum=14
Time=1940, a=12, b=2, cin=0, cout=0, sum=14
